Name,Position,University,Place,Code
Marcos Alexis Flores Garcia,Coordinador área Química,Universidad Santo Tomás,"TALCA, Chile",10910
Anita Sanyal Tudela,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10911
Esteban Manuel Valenzuela Van Treek,Investigador y Director,Universidad de Concepción,"Concepción, Chile",10912
Enrique Alejandro Munoz Ortiz,,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",10913
María Elena Nora Muñoz Méndez,,UNIVERSIDAD DE CHILE,"Santiago, Chile",10915
Bruno Felipe Urbano Cantillana,Profesor Asociado,Universidad de Concepción,"Concepción, Chile",10916
Juan Pablo Cárdenas Villalobos,Director,Net-Works,"Viña del Mar, Chile",10917
Iskra Leyla Pavez Soto,Investigadora,Universidad Bernardo O'Higgins,"Santiago, Chile",10919
eda isolina hurtado pedreros,Profesora,Pontificia Universidad Católica de Valparaíso,"Viña del Mar, Chile",10920
Angelo Castruccio Alvarez,,"DEPARTAMENTO DE GEOLOGÍA, FAC. DE CIENCIAS FISICAS Y MATEMATICAS, UNIVERSIDAD DE CHILE","Santiago, Chile",10921
Sergio Antonio Salgado Salgado,,"UNIVERSIDAD SANTO TOMÁS, ESCUELA DE INGENIERÍA COMERCIAL","Santiago, Chile",10922
German Enrique Varas Siriany,Associate Professor,Pontificia UNIVERSIDAD CATOLICA DE VALPARAISO,"Valparaiso, Chile",10923
Claudio Eduardo Coddou Alvarez,Profesor Asociado,Universidad Católica del Norte,"Coquimbo, Chile",10924
Oscar Florencio Araneda Valenzuela,Docente de Fisiologia -Profesor Investigador,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",10925
Alejandro Corvalan,Assistant Professor,Universidad de Chile,"Santiago, Chile",10926
Luis Iván Díaz Garcia,,UNIVERSIDAD CATÓLICA DE TEMUCO,"Temuco, Chile",10927
Olga Estela Ostria Reinoso,,UNIVERSIDAD DEL BÍO-BÍO,"Concepción, Chile",10928
NESTOR FRANCISCO MALDONADO FUENTES,Profesor Asociado,Universidad de Talca,"SANTIAGO, Chile",10929
María Alejandra Alvarez,Profesor Asociado,UNIVERSIDAD DE ANTOFAGASTA,"Antofagasta, Chile",10930
Eduardo Daniel Jorquera Álvarez,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",10931
Kareen Andrea Brown Alvarez,,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",10932
Claudia Lorena Vargas Díaz,,UNIVERSIDAD DEL BÍO BÍO,"Concepción, Chile",10933
Carlos Arturo Ubeda De La Cerda,Profesor Asociado,UNIVERSIDAD DE TARAPACÁ,"Arica, Chile",10934
Carla Ingrid Jara Campos,Profesor Asistente,UNIVERISDAD DE CHILE,"Santiago, Chile",10935
Rodrigo Ascanio Ramírez Tagle,Consultor,Asesorias CUBO,"Santiago, Chile",10936
José Luis Palma Lizana,Profesor Asociado,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",10937
Umberto Bonomo,Director,Pontificia Universidad Católica de Chile,"Santiago, Chile",10938
Ricardo Andrés Soto Rifo,PROFESOR ASOCIADO,UNIVERSIDAD DE CHILE,"SANTIAGO, Chile",10939
Giovanni Andrés Giachetti Herrera,Director de Investigación,Universidad Andrés Bello,"Santiago, Chile",10940
Enrique Alfonso Rodriguez Serrano,Assistant Professor,"DEPARTAMENTO DE ZOOLOGIA, FACULTAD DE CS NATURALES Y OCEANOGRAFICAS, UNIVERSIDAD DE CONCEPCION","Concepcion, Chile",10941
RODRIGO ALBERTO CORDERO VEGA,Profesor Asociado,"UNIVERSIDAD DIEGO PORTALES, ESCUELA DE SOCIOLOGÍA","SANTIAGO, Chile",10942
Manuel Antonio Meruane Naranjo,,"FACULTY OF MEDICINE, UNIVERSITY OF CHILE","Santiago, Chile",10943
Matias Esteban Tapia Gonzalez,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE- INSTITUTO DE ECONOMIA,"Santiago, Chile",10944
Cesar Astudillo,Head of Department,Universidad de Talca,"Curico, Chile",10945
Hugo Patricio Valdes Riquelme,Académico,UNIVERSIDAD CATÓLICA DEL MAULE,"Talca, Chile",10946
Ivan Patricio Nancucheo Cuevas,Docente Investigador,Universidad San Sebastián,"Concepción, Chile",10947
Manuel Fuenzalida,DIRECTOR,UNIVERSIDAD ALBERTO HURTADO,"Santiago, Chile",10949
Jorge Isaac Figueroa Zuñiga,,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",10950
Umut Aydin,Associate Professor,"INSTITUTO DE CIENCIA POLÍTICA, PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Santiago, Chile",10951
Guillermo Patricio Ferreira Cabezas,,FACULTAD DE CIENCIAS FISICAS Y MATEMATICAS/ UNIVERSIDAD DE CONCEPCION,"Concepcion, Chile",10952
Mireya Dávila Avendaño,Profesora Asistente,UNIVERSIDAD DE CHILE - INSTITUTO DE ASUNTOS PÚBLICOS,"Santiago, Chile",10953
Lorena Gisela Mardones Leiva,ASSOCIATED PROFESSOR,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,"CONCEPCION, Chile",10954
Francisco Javier Morera Galleguillos,Assistant Professor,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",10955
Amaya Paulina Alvez Marin,Profesora Asociada,UNIVERSIDAD DE CONCEPCION,"CONCEPCION, Chile",10957
Rodrigo Ramírez Pino,,UNIVERSIDAD DE TALCA,"Talca, Chile",10958
Laura Mayer Lux,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",10959
Ximena Andrea Gauché Marchetti,Profesora Asociada,Universidad de Concepción,"Concepción, Chile",10960
Carlos Felipe Hurtado Ferreira,Profesor Adjunto,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAISO,"Valparaiso, Chile",10961
Sergio Radic Schilling,Director de Investigación,UNIVERSIDAD DE MAGALLANES,"Punta Arenas, Chile",10962
Ricardo Antonio Caroca Lisboa,"University Professor, Academic",UCSC,"Concepción, Chile",10963
Marcela Margarita Norambuena Césped,investigador Asociado,Universidad de Concepción,"Concepcion, Chile",10964
Alejandro Daniel Catalán Rodríguez,,UNIVERSIDAD DE ANTOFAGASTA,"Antofagasta, Chile",10965
Orlando Prat Borquez,,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",10966
Alex Leandro Véliz Burgos,,UNIVERSIDAD MAYOR SEDE TEMUCO,"Temuco, Chile",10967
Maria Francisca Blanco Herrera,Profesor Asociado,Universidad Andres Bello,"Santiago, Chile",10968
Maite Rodriguez Diaz,Profesor Jornada,UNIVERSIDAD ANDRES BELLO,"Santiago, Chile",10969
