Name,Position,University,Place,Code
Marcelo Roberto Montenegro Concha,,CICITEM,"Antofagasta, Chile",11212
César Augusto Méndez Melgar,Investigador residente,Centro de Investigación en Ecosistemas de la Patagonia,"Coyhaique, Chile",11213
Amalia Nuevo Delaunay,INVESTIGADORA RESIDENTE,CENTRO DE INVESTIGACIÓN EN ECOSISTEMAS DE LA PATAGONIA,"COYHAIQUE, Chile",11214
Jacques Dumais,Professor Titular,Universidad Adolfo Ibáñez,"Viña del Mar, Chile",11215
Francisco Ramón Encina Montoya,,UNIVERSIDAD CATÓLICA DE CHILE,"Temuco, Chile",11217
Pablo Daniel Sáez González,Académico,Universidad Católica del Maule,"Talca, Chile",11218
Rodrigo Hernán Loyola Sepúlveda,,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11219
Eduardo Emilio Quiroz Reyes,,Universidad Austral de Chile,"Valdivia, Chile",11220
Hernan Palma,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11221
Maria  Isabel  Pavez Reyes,académica Prof. Titular,UNIVERSIDAD DE CHILE,"Santiago, Chile",11223
Camilo Antonio Cruz Gambardella,,"FACULTAD DE ARQUITECTURA Y URBANISMO, UNIVERSIDAD DE CHILE","Santiago, Chile",11224
Evelyn Alejandra Villagra Quero,Académico,UNIVERSIDAD CATÓLICA DEL MAULE,"Talca, Chile",11225
Klaus Puschel,Full Professor,FACULTAD MEDICINA PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11226
Francisco Cruz Olivos,,HOSPITAL CLÍNICO PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11227
Manuel Julio San Román Bontes,Investigador,Universidad de Magallanes,"punta arenas, Chile",11230
Ivette Emilia Seguel Benitez,,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,"Vilcun, Chile",11231
María Consuelo Biskupovic Zimmermann,Postdoctorante,CIGIDEN,"Santiago, Chile",11233
Claudio Patricio Sebastián Lavados Montes,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11234
Álvaro José Quezada Sepúlveda,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11235
María Irene Schiattino Lemus,,UNIVERSIDAD DE CHILE,"santiago, Chile",11237
Guillermo Alejandro Fuentes Ulloa,,CENTRO INTERDISCIPLINARIO DE ESTUDIOS EN BIOÉTICA,"Santiago, Chile",11238
Paola Johanna Salgado Figueroa,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11239
Maritza Leonardi Aguayo,,UNIVERSIDAD NACIONAL ANDRES BELLO,"Talcahuano, Chile",11240
Marcia Amalia Puchi Thiele,,UNIVERSIDAD NACIONAL ANDRES BELLO,"Talcahuano, Chile",11241
Gabriel Andres Argel Alvares,,PUCV,"VALPARAISO, Chile",11242
José Andrés Sepúlveda Maldonado,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11243
Allan Rigoberto White Ortiz,,UNIVERSIDAD DE CHILE - FACULTAD DE MEDICINA - ICBM - PROGRAMA DE FISIOLOGÍA Y BIOFÍSICA,"Santiago, Chile",11244
Marcelo Cano Cappellacci,,FACULTAD DE MEDICINA. UNIVERSIDAD DE CHILE,"Santiago, Chile",11245
Desiderio Enrique Catriquir Colipan,,UNIVERSIDAD CATÓLICA DE TEMUCO,"Temuco, Chile",11247
Juan Francisco Rojas Martinez,,GESTIÓN Y PREVENCIÓN,"Santiago, Chile",11248
Francisco Miranda Suárez,,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11249
Rosa Andrea Pardo Vargas,,HOSPITAL CLINICO UNIVERSIDAD DE CHILE,"Santiago, Chile",11250
José Lorenzo Suazo Sanhueza,Profesor Asociado,Universidad de Chile,"Santiago, Chile",11251
Karin Miriam Margarita Rotter Podaril,,SOCIEDAD PRO AYUDA AL NIÑO LISIADO,"Santiago, Chile",11252
Margarita Alexandra Solar Beazer,,TELETON,"Valparaiso, Chile",11253
Lorena Alejandra Llorente Dobbs,,TELETON CONCEPCION,"CONCEPCION, Chile",11254
gemita magaly pizarro nova,,INSTITUTO DE FOMENTO PESQUERO,"Punta Arenas, Chile",11255
Luis Alberto Velez Arellano,,CORPORACIÓN MUNICIPAL DE LA FLORIDA,"Santiago, Chile",11257
María Paulina Corvalan Maldonado,,CORPORACION MUNICIPAL DE LA FLORIDA,"Santiago, Chile",11258
Oscar Alejandro Peralta Troncoso,Profesor Asociado,"UNIVERSIDAD DE CHILE, FACULTAD DE CIENCIAS VETERINARIAS Y PECUARIAS","Santiago, Chile",11259
María Verónica De La Paz Calderón,,INSTITUTO DE LA SORDERA,"Santiago, Chile",11260
Jose Antonio Botin Gonzalez,,"PONTIFICIA UNIVERSIDAD CATOLICA, ESCUELA DE INGENIERIA, CENTRO DE MINERIA","SANTIAGO, Chile",11262
Ronald Romeo Guzman Venegas,,"PONTIFICIA UNIVERSIDAD CATOLICA, ESCUELA DE INGENIERIA, CENTRO DE MINERIA","SANTIAGO, Chile",11263
Vicente Emanuel Castro Castillo,Associate Professor,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,"Santiago, Chile",11264
Rodrigo Enrique Arias Federici,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11265
Roberto Kalbusch Saito,,"DEPARTAMENTO ASTRONOMIA Y ASTROFISICA, PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE","Santiago, Chile",11266
Alejandro Bruhn Cruz,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11267
Nicolas Patricio Jarufe Cassis,Chief Digestive Surgery,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11268
Carlos Alberto Cardenas Valencia,Associate professor,UNIVERSIDAD DE CHILE,"Santiago, Chile",11269
PAMELA ALEJANDRA LEAL ROJAS,Investigador,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11270
Jorge Rojas Flores,docente,"Instituro de Historia, UC","Santiago, Chile",11271
Carlos Alberto Castillo Durán,,"DPTO. PEDIATRÍA, FCULTAD DE MEDICINA CAMPUS CENTRO,U. DE CHILE","Santiago, Chile",11272
Catalina Le Roy Olivos,,DEPARTAMENTO DE PEDIATRIA FACULTAD DE MEDICINA CAMPUS CENTRO UNIVERSIDAD DE CHILE,"Santiago, Chile",11273
Claudia Torrejon Silva,,"UNIVERSIDAD DE CHILE, FACULTAD DE MEDICINA, DEPARTAMENTO DE PEDIATRÍA NORTE","Santiago, Chile",11274
Jorge Ronald Ortiz Véliz,Profesor Titular,"DEPARTAMENTO DE GEOGRAFÍA, FACULTAD DE ARQUITECTURA Y URBANISMO, UNIVERSIDAD DE CHILE","Santiago, Chile",11275
Carmen Paz Castro Correa,Profesora Asociada,"UNIVERSIDAD DE CHILE, FACULTAD ARQUITECTURA Y URBANISMO","SANTIAGO, Chile",11276
Maria Veronica Undurraga Schuler,"Profesora Asociada, Planta Ordinaria Jornada Completa",Pontificia Universidad Católica de Chile,"Santiago, Chile",11277
Marcela Julio Pieper,Profesor Adjunto,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAISO,"Valparaiso, Chile",11278
JAVIER ANDRÉS BRAVO VIVALLO,PROFESOR ADJUNTO,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAISO,"VALPARAÍSO, Chile",11279
JOSE GALGANI,ASSOCIATE PROFESSOR,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11280
Ariel Eduardo Contreras Ferrat,assistance professor,UNIVERSIDAD DE CHILE,"Santiago, Chile",11281
Victor Hugo Fernandez González,,INSTITUTO DE ESTUDIOS AVANZADOS DE LA UNIVERSIDAD DE SANTIAGO DE CHILE,"Machali, Chile",11283
Roberto Chacana Arancibia,Profesor,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11284
Claudio Ignacio Allende González,,CENTRO DE INVESTIGACIÓN AVANZADA EN EDUCACIÓN,"Santiago, Chile",11285
Estanislao Francisco Godoy Pirzio-biroli,,TEHEMA CONSULTORES GEOLÓGICOS,"santiago, Chile",11288
Francisco Jose Fuentes Iza,Director de Carreras Geologia e Ingenieria Civil en Minas,UNIVERSIDAD CENTRAL,"Santiago, Chile",11289
Rigoberto Enrique Marin Catalan,,"UNIVERSIDAD DE CHILE, FACULTAD DE MEDICINA","Santiago, Chile",11290
Rodrigo Pascual Jimenez,Director,Universidad de Chile,"Santiago, Chile",11291
Teresa Eugenia Aravena Cerda,Profesor asistente,UNIVERSIDAD DE CHILE,"santiago, Chile",11292
Maria Evelyng Faure Lobos,,CLINICA LAS CONDES,"Santiago, Chile",11293
Karen Lorena Alfaro Monsalve,Prodecana ,Universidad Austral de Chile,"Valdivia, Chile",11294
Pablo Andrés Caviedes Fernández,Full professor,"PROGRAMA DE FARMACOLOGÍA MOLECULAR Y CLÍNICA, ICBM, FAC. DE MEDICINA, U. DE CHILE","Santiago, Chile",11295
Maria Soledad Fernandez Murillo,,CONSULTORA MALLKU LIMITADA,"Arica, Chile",11296
MARÍA CECILIA SÁNCHEZ GONZÁLEZ,,UNIVERSIDAD ARCIS,"SANTIAGO, Chile",11297
Eugenio Sebastian Bobenrieth HochfÄrber,,"PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE, DEPARTAMENTO DE ECONOMÍA AGRARIA, FACULTAD DE AGRONOMÍA E INGENIERÍA FORESTAL.","SANTIAGO, Chile",11298
Michael Lukas,,DEPARTAMENTO DE GEOGRAFÍA,"Santiago, Chile",11299
Juan Pablo Ogalde Herrera,INVESTIGADOR ADJUNTO,Universidad de Tarapacá,"Arica, Chile",11300
Juan Chacama Rodriguez,,UNIVERSIDAD DE TARAPACÁ,"Arica, Chile",11301
Andrés Bronfman Cáceres,Academic Director ,Universidad Andrés Bello,"Santiago, Chile",11302
Pamela Romanque Ulloa,Residente,Hospital Clínico Universidad de Chile,"Santiago, Chile",11303
Mario Uribe Maturana,,CLÍNICA LAS CONDES,"Santiago, Chile",11304
Sebastián Ignacio Uribe-echevarría Aránguiz,,UNIVERSIDAD DE CHILE  FACULTAD DE MEDICINA DIVISION CIENCIAS MEDICAS ORIENTE DPTO DE CIRUGÍA,"Santiago, Chile",11305
Romulo Alberto Hidalgo Luna,,UNIVERSIDAD ADOLFO IBÁÑEZ,"Viña del Mar, Chile",11306
Virginia Beatriz Guzman Barcos,SUBDIRECTORA,CENTRO DE ESTUDIOS DE LA MUJER,"SANTIAGO, Chile",11307
Karla Andrea Silva Neculman,,COMPLEJO ASISTENCIAL DR. SÓTERO DEL RÍO,"Santiago, Chile",11308
Michael Velten,,SERVICIO DE SALUD METROPOLITANA SUR ORIENTE,"Santiago, Chile",11309
Macarena Mayol Videla,,"SERV. DE SALUD METROPOLITANA SUR ORIENTE, HOSPITAL SOTERO DEL RIO","Santiago, Chile",11310
María Solange López Fica,,"SERV. DE SALUD METROPOLITANA SUR ORIENTE, HOSPITAL SOTERO DEL RIO","Santiago, Chile",11311
marcela agustina araya bannout,Profesor Asistente,UNIVERSIDAD DE CHILE,"Santiago, Chile",11312
Marcela Andrea Cruchaga,Académico / Full Prof.,UNIVERSIDAD DE SANTIAGO DE CHILE - DEPTO. ING. MECÁNICA,"Santiago de Chile, Chile",11313
Claudio Moises Garcia Herrera,Associate Professor,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11314
SIMÓN ANDRÉS URBINA ARAYA,Director,Universidad Austral de Chile,"Puerto Montt, Chile",11315
Alejandra Isabel Vidal Elgueta,,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,"Santiago, Chile",11316
Gloria Andrea Cabello Baettig,Posdoctorante,Pontificia Universidad Católica de Chile,"Santiago, Chile",11317
Jorge Antonio Razeto Migliaro,Associate professor,UNIVERSIDAD DE CHILE,"Santiago, Chile",11318
Gregorio Rolando Moreno Flores,,"DEPT. OF MATHEMATICS, UNIVERSITY OF WISCONSIN","Madison, WI 53706, Estados Unidos",11319
Jaime Gonzalo Fernandez Ruiz,,HOSPITAL CLÍNICO UNIVERSIDAD DE CHILE,"Santiago, Chile",11320
Maria Pia De La Maza Cave,,U. DE CHILE. INSTITUTO DE NUTRICION Y TECNOLOGIA DE LOS ALIMENTOS,"SANTIAGO, Chile",11321
Mariana Cifuentes Koster,Professor,INTA UNIVERSIDAD DE CHILE,"Santiago, Chile",11322
Daniel Carlos Bunout Barnett,,INTA UNIVERSIDAD DE CHILE,"Santiago, Chile",11323
Catalina Arteaga Aguirre,Profesora asociada,UNIVERIDAD DE CHILE FACULTAD DE CIENCIAS SOCIALES DEPTO DE SOCIOLOGIA,"SANTIAGO, Chile",11324
SONIA PEREZ TELLO,Assistant Professor,FACULTAD DE CIENCIAS SOCIALES UNIVERSIDAD DE CHILE,"Santiago, Chile",11325
Sylvia Violeta Copaja Castillo,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11326
Tamara Santos Alvins,,UNIVERSIDAD CENTRAL,"SANTIAGO, Chile",11327
Maria Daniela Lara Escalona,,CENTRO DE INVESTIGACIONES CRIMINOLOGICAS. FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES. UNIVERSIDAD CENTRAL,"SANTIAGO, Chile",11328
Maria Angelica Larrain Barth,Profesor Asociado,UNIVERSIDAD DE CHILE FACULTAD DE CIENCIAS QUIMICAS Y FARMACEUTICAS,"Santiago, Chile",11329
CLAUDIA ELENA BAMBS SANDOVAL,PROFESORA ASOCIADA,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11330
Alexis Emir Vásquez Fuentes,Profesor Asociado,Universidad de Chile,"Santiago, Chile",11331
Claudio Tesser Obregón,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11332
Marta Adelina Szmulewicz Espinosa,,UNIVERSIDAD DEL DESARROLLO,"Santiago, Chile",11333
Enrique Alfonso Martinez Mosqueira,Professeur,Foyer de Charite,"Lambesc, Francia",11334
Luisa Leticia Bascuñán Godoy,Profesora asistente,Universidad de Concepción,"Concepción, Chile",11335
Luis Fernando Florenzano Urzua,,UNIVERSIDAD DE CHILE - FACUTAD DE MEDICINA - CAMPUS ORIENTE,"Santiago, Chile",11336
Rodrigo Andrés Carrasco Loza,,"DEPARTAMENTO DE MEDICINA ORIENTE, FACULTAD DE MEDICINA. UNIVERSIDAD DE CHILE","Santiago, Chile",11337
Alvaro María Olivera Nappa,Principal Investigator and Assistant Professor,UNIVERSIDAD DE CHILE,"Santiago, Chile",11338
Flavio Andres Salazar Onfray,Profesor titular,Universidad de Chile,"SANTIAGO, Chile",11340
Rodrigo Juan Basco,,UNIVERSIDAD CATÓLICA DEL NORTE,"Antafagasta, Chile",11341
Claudio Fernando Perez Silva,Profesor titular,Universidad de Valparaíso,"Valparaíso, Chile",11342
Karla Andrea Pozo Gallardo,ACADÉMICO MEDIA JORNADA,UNIVERSIDAD SAN SEBASTIÁN,"CONCEPCION, Chile",11344
Roberto Eduardo Aceituno Morales,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11345
Pablo Eduardo Cabrera Pérez,,"UNIVERSIDAD DE CHILE, FACULTAD DE CIENCIAS SOCIALES","Santiago, Chile",11346
Isidro Alejandro Gómez Chamorro,,"UNIVERSIDAD DE CHILE, FACULTAD  DE MEDICINA CAMPUS SUR","Santiago, Chile",11347
Cristian Esteban Radiszcz Sotomayor,,"UNIVERSIDAD DE CHILE, FACULTAD DE CIENCIAS SOCIALES. DEPARTAMENTO DE PSICOLOGÍA","Santiago, Chile",11348
Marcelo Guarini Herrmann,Profesor Titular,Universidad de los Andes,"Santiago, Chile",11349
Claudia Verónica Vásquez Rivas,Academica,UNIVERSIDAD DEL BIO BIO,"Chillán, Chile",11350
Leonardo Jeffs Castro,,UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",11351
Manuel EfraÌn Espinoza Llanca,,LICEO TÉCNICO FEMENINO DE VALPARAÍSO,"Valparaíso, Chile",11352
Alejandro Antonio Campos Ponce,,COLEGIO BALBADEE,"San Antonio, Chile",11353
Erik Marcelo Morales Mejías,Profesor Auxiliar,UNIVERSIDAD CATÓLICA DEL MAULE,"Talca, Chile",11354
Paulo Hidalgo Aramburu,,UNIVERSIDAD CATÓLICA DEL MAULE,"Curicó, Chile",11355
Hernán Acuña Pommiez,,UNIVERSIDAD DE CONCEPCIÓN,"Chillán, Chile",11356
Alfredo  Hernan von Marttens  Castro,DIRECTOR DE ESPECIALIDAD  IMPLANTOLOGÍA BUCO MAXILO FACIAL ,"ESCUELA GRADUADOS, FACULTAD DE ODONTOLOGÍA, UNIVERSIDAD DE CHILE","Santiago, Chile",11357
Miguel Antonio Neira Jara,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11358
LUIS OSVALDO DEVOTTO MORENO,INVESTIGADOR,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,"chillan, Chile",11359
Félix Antonio Modrego Benito,Profesor Asistente,Universidad de O'Higgins,"Rancagua, Chile",11361
Diego Honorato Errázuriz,DOCENTE INVESTIGADOR,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11362
Robert Wallace King St-onge,,FACULTAD DE INGENIERIA,"Concepcion, Chile",11363
Elizabeth González,,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",11364
Monica Alejandra Caniupan Marileo,ACADEMICO JORNADA COMPLETA,UNIVERSIDAD DEL BÍO-BÍO,"Concepcion, Chile",11365
Cristián Leonardo Guerra Rojas,,"FACULTAD DE ARTES, UNIVERSIDAD DE CHILE","Santiago, Chile",11367
María Fernanda Vásquez Palma,Academician- Director,UNIVERSIDAD DE TALCA,"TALCA, Chile",11369
RAUL ANTONIO BERNAL MEZA,INVESTIGADOR - PROFESOR TITULAR,"INSTITUTO DE ESTUDIOS INTERNACIONALES, UNIVERSIDAD ARTURO PRAT","SANTIAGO, Chile",11371
Maximo Fabian Quitral Rojas,Investigador,Universidad Tecnológica Metropolitana,"Santiago, Chile",11372
José Miguel Edwards Yáñez,Profesor Asociado,UNIVERSIDAD ADOLFO IBÁÑEZ,"Santiago, Chile",11373
Ricardo Andrés Salazar González,Profesor Asociado,UNIVERSIDAD DE SANTIAGO DE CHILE (USACH),"Santiago, Chile",11374
Patricia Marcela Alvarez Zenteno,PEDIATRIC CARDIOLOGY,HOSPITAL ROBERTO DEL RIO,"SANTIAGO, Chile",11375
Macarena Miranda Alarcón,,HOSPITAL LUIS CALVO MACKENNA,"Santiago, Chile",11376
Carolina De Los Ángeles Cares Basualto,,HOSPITAL LUIS CALVO MACKENNA,"Santiago, Chile",11377
Germán Hermosilla,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11378
Rodrigo Alejandro Morales Ramirez,,UNIVERSIDAD AUSTRAL DE CHILE,"VALDIVIA, Chile",11380
Moises Osorio Oliva,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11381
Gabriel Armando Gonzalez Lopez,Profesor Titular,UNIVERSIDAD CATÓLICA DEL NORTE,"Antofagasta, Chile",11382
Jose Miguel Cembrano Perasso,Profesor Titular,Pontificia Universidad Catolica de Chile,"Santiago, Chile",11383
Pablo Eugenio Salazar Reinoso,ACADEMICO,UNIVERSIDAD CATÓLICA DEL NORTE,"Antofagasta, Chile",11384
Jaime Alberto Galgani Muñoz,,UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ,"Santiago, Chile",11385
Bernd JÜrgen Schulz Eglin,Profesor de Excelencia,USACH,"STGO, Chile",11386
Claudia Evelyn Rodriguez Navarrete,,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",11387
Maria Eugenia Soto Muñoz,Académico,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",11388
Andres Musalem Said,Profesor Asociado,"UNIVERSIDAD DE CHILE, FACULTAD DE CIENCIAS FISICAS Y MATEMATICAS, ING. INDUSTRIAL","Santiago, Chile",11389
Carlos Humberto Muñoz Parra,,ESCUELA DE ARQUITECTURA UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11390
Matías Antonio Dziekonski Ruchardt,Investigador,Universidad de Santiago de Chile,"Santiago, Chile",11391
Veronica Alejandra Yañez Romo,,UNIVERSIDAD DE SANTIAGO,"Santiago, Chile",11392
Margarita Angélica Loubat Oyarce,Académica,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11393
Carlos Felipe Oyarzún Guerrero,Profesor Adjunto Asociado,Universidad Austral de Chile,"Valdivia, Chile",11394
Claudio Andrés Flores Würth,Académico,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11395
Lucia Loreto Podesta Lopez,Directora,CENTRO DE DOCENCIA DE ATENCIÓN INTEGRAL AMBULATORIA,"Valdivia, Chile",11396
Francisco Rafael Sabatini Downey,Profesor Titular,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11397
BEGOÑA FERNANDA GÓNGORA COSTA,Docente,Universidad de Valparaíso,"viña del mar, Chile",11398
Juan Carlos Gómez Leyton,,UNIVERSIDAD ARCIS,"SANTIAGO, Chile",11399
Alvaro German Vivanco Huerta,,UNIVERSIDAD ARCIS,"SANTIAGO DE CHILE, Chile",11400
Zulema Beatriz Escalante Lara,,UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES,"SANTIAGO, Chile",11401
Alejandro Gregorio Martinez Aguayo,Profesor Asociado,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago de Chile, Chile",11402
Carmen Carrasco Mardones,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"SANTIAGO, Chile",11403
Cristian Andres Carvajal Maldonado,Associate Professor,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11404
Marlene Elizabeth Aglony Imbarack,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11405
Rene Felipe Baudrand Biggs,Profesor Asociado,Pontificia Universidad Católica de Chile,"Santiago, Chile",11406
Carolina Andrea Reyes Valenzuela,,INSTITUTO DE SALUD PÚBLICA DE CHILE,"Santiago, Chile",11407
Gerardo Antonio Mora Rivera,,AZAPA PRODUCCIONES LTDA.,"Santiago, Chile",11409
MARIA CAROLINA ODONE CORREA,Profesor planta especial,Pontificia Universidad Católica de Chile,"Santiago, Chile",11410
Marco Antonio Arenas Campos,,UNIVERSIDAD INTERNACIONAL SEK,"Santiago, Chile",11411
Alan Sergio Martin Menéndez,,"UNIVERSIDAD DE CHILE, FACULTAD DE FILOSOFIA, DEPTO. DE FILOSOFIA","SANTIAGO, Chile",11412
René Domingo Millar Carvacho,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE. INSTITUTO DE HISTORIA,"Santiago, Chile",11413
Juan Fernando Escobar,Profesor, UNIVERSIDAD DE CHILE,"Santiago, Chile",11414
Alexis Amezaga Hechavarria,,"INSTITUTO DE CIENCIAS FÍSICAS Y MATEMÁTICAS, FACULTAD DE CIENCIAS, UNIVERSIDAD AUSTRAL DE CHILE","Valdivia, Chile",11415
Alejandra Margarita Zúñiga Feest,Profesor Asociado,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11416
Abelardo Aurelio San Martín Núñez,Profesor Asociado,Universidad de Chile,"Santiago, Chile",11417
Silvana Maricel Guerrero González,Profesora Asistente,UNIVERSIDAD DE CHILE,"Santiago, Chile",11418
Angel Denys Carocca Becerra,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11419
Linton Patricio Carvajal Ortega,Académico,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11420
Luis Alberto Friz Roa,,"UNIVERSIDAD DEL BÍO-BÍO, FACULTAD DE CIENCIAS, DEPARTAMENTO DE CIENCIAS BÁSICAS","Chillán, Chile",11421
Solene Marie Bergot,Directora Licenciatura en Historia,Universidad Andrés Bello,"Santiago, Chile",11422
Rodrigo Andres Morales Pavez,Investigador ,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,"Osorno, Chile",11424
Emilio Mauricio Ungerfeld,Investigador,INSTITUTO NACIONAL DE INVESTIGACIONES AGROPECUARIAS,"Vilcún, Chile",11425
Julian Manuel Parga Mate De Luna,,PARTICULAR,"Osorno, Chile",11426
Ximena Rojas Retamal,,UNIVERSIDAD CARDENAL SILVA HENRRÍQUEZ,"Santiago, Chile",11427
Antonia Lara Edwards,Docente investigadora,UNIVERSIDAD CARDENAL SILVA HENRRÍQUEZ,"santiago, Chile",11428
Macarena Zamora Contardo,,UNIVERSIDAD CARDENAL SILVA HENRRÍQUEZ,"santiago, Chile",11429
Genaro Christian Barrientos Briones,Profesor Asistente,UNIVERSIDAD DE CHILE,"Santiago, Chile",11430
Jorge Enrique Rivera Cayupi,Profesor,"DEPARTAMENTO DE ECONOMÍA, UNIV. DE CHILE","Santiago, Chile",11431
Adriana Vergara González,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11432
Alejandra Ximena Sánchez Guzmán,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11433
María Capetillo Fuentes,,CLÍNICA DÁVILA,"Santiago, Chile",11434
Francisca Gómez Lechaptois,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11435
Luis Ernesto Tricot Novoa,,UNIVERSIDAD VIÑA DEL MAR,"Viña del Mar, Chile",11436
Victor Salvador Tokichen Tricot Salomon,,UNIVERSDIDAD DE SANTIAGO,"Santiago, Chile",11437
Ruben Perez Fernandez,,UNIVERSIDAD DE CONCEPCION CAMPUS CHILLAN,"CHILLAN, Chile",11438
Cristina Judith Palma Ibañez,,UNIVERSIDAD DE CONCEPCCIÓN,"Chillán, Chile",11439
Teresa Oteiza Silva,Profesora Asociada,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11440
Rodrigo Fernando Henríquez Vásquez,Profesor asociado,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11441
Luis Marcelino Rojas Donat,profesor titular,"UNIVERSIDAD DEL BÍO-BÍO, FAC. EDUCACIÓN Y HUMANIDADES","Chillán, Chile",11442
margarita elena alvarado perez,Profesora,PONTIFICIA UNIVERSDAD CATÓLICA DE CHILE,"Santiago, Chile",11443
Carla Yolanda MÖller Zunino,,INSTITUTO PROFESIONAL ARCOS,"Santiago, Chile",11444
Rodrigo Esteban Fuentealba Alday,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11445
Eduardo Santa Cruz Achurra,,UNIVERSIDAD DE CHILE-INSTITUTO DE COMUNICACIÓN E IMAGEN,"Santiago, Chile",11446
Mario Hernán Castillo Ruiz,Coordinador área Microbiología e Inmunología,Universidad Bernardo O'Higgins,"Santiago, Chile",11447
Carl Manfred Svensson,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11448
Maura Daniela Salvo Epullanca,,"UNIVERSIDAD AUSTRAL DE CHILE, FACULTAD DE FILOSOFÍA Y HUMANIDADES, CENTRO DE IDIOMAS","Valdivia, Chile",11449
Rodolfo Luis Mannheim Cassierer,,UNIVERSIDAD DE SANTIAGO DE CHILE,"SANTIAGO, Chile",11450
Jorge Leonidas Garin Cordova,,UNIVERSIDAD DE SANTIAGO DE CHILE,"SANTIAGO, Chile",11451
Gerardo Alexis Cifuentes Molina,Académico Jornada Completa,UNIVERSIDAD DE SANTIAGO DE CHILE,"SANTIAGO, Chile",11452
Jorge Hernan Valdes Anabalon,I,UNIVERSIDAD MAYOR,"Santiago, Chile",11453
