Nombre Institución,Investigadores,Número de Reseñas Verificadas,Número de Publicaciones
Yuriy Fedkovych Chernivtsi National University,1.015,-,132
Brno University of Technology,1.013,31,12.709
Fudan University,1.006,21,6.445
Universidad Autónoma del Estado de México (UAEM),1.003,2,851
Ben Gurion University,997,20,5.469
Universität Vienna,993,32,9.295
National Taiwan University,992,39,9.458
University of Minnesota,991,51,14.548
Universidad de Extremadura,989,20,7.590
Southeast University,988,33,9.042
University of Groningen,986,34,8.875
UNED (Universidad Nacional de Educacion a Distancia),980,8,3.533
Universidade Federal de Uberlândia (UFU),979,9,3.489
Tongji University,978,21,5.575
Sechenov First Moscow State Medical University,978,8,3.570
Hiroshima University,971,23,6.949
North Carolina State University,966,37,11.478
Nicolaus Copernicus University,963,25,6.047
University of Pisa,961,52,15.032
Universidade Federal de Viçosa,957,13,4.280
Western University (University of Western Ontario),953,24,7.205
RMIT University,942,43,11.285
Universitas Airlangga,939,6,1.968
Uppsala University,937,28,8.606
Pompeu Fabra University (UPF),936,6,2.484
Universidad Rey Juan Carlos,933,29,7.821
National Institute for Materials Science,932,12,4.028
South China University of Technology,932,27,6.990
University of North Carolina Chapel Hill,930,35,9.336
"Swiss Federal Institute of Technology, Lausanne",929,16,6.824
Universidade Federal do Pará,926,5,2.035
UTFPR - Federal University of Technology - Paraná,926,15,4.598
Beihang University,925,16,5.233
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),924,3,842
"Cairo University, Giza, Egypt",922,41,15.482
Shandong University,920,22,6.209
Aix-Marseille Universite,920,15,4.977
Pontificia Universidad Catolica de Chile,920,12,3.769
University of Warwick,915,23,8.200
Central South University,911,13,4.756
"Ain Shams University, Cairo, Egypt",911,22,7.022
French Alternative Energies and Atomic Energy Commission,906,4,2.177
"University of California, San Francisco",902,46,12.455
Universidad de Alcalá,901,21,5.381
Universidade Federal da Paraíba,900,12,3.283
Oak Ridge National Laboratory,897,20,6.094
Norwegian University of Science and Technology,892,33,10.134
Universidade Estadual de Maringá (UEM),892,5,2.329
University of Liverpool,889,27,9.941
Iran University Science & Technology,888,23,5.623
Empresa Brasileira de Pesquisa Agropecuaria (Embrapa),884,2,1.813
Jagiellonian University,882,22,6.213
University of Calgary,881,38,13.560
Vrije Universiteit Amsterdam,876,14,4.773
Ioffe Physical-Technical Institute of the Russian Academy of Sciences,876,1,867
University of Maryland at College Park,873,15,5.732
Faculdade de Medicina da Universidade de São Paulo,868,10,2.812
Far Eastern State University,867,3,960
University of Otago,866,64,15.360
Wageningen University & Research,863,23,6.966
Universitat Rovira i Virgili,862,10,4.222
Ankara University,862,4,2.114
RWTH Aachen University,861,25,6.521
Istituto Superiore di Sanita,858,4,2.958
South Ural State University,858,8,3.149
Iowa State University,857,30,8.708
James Cook University,856,19,5.896
Pontifícia Universidade Católica do Rio Grande do Sul,855,4,1.862
KTH Royal Institute of Technology,852,22,7.106
Aalto University,852,24,7.952
University of South Africa,851,7,2.993
King Fahd University of Petroleum & Minerals,850,30,8.694
Polytechnic University of Bucharest,848,46,13.554
University of Pretoria,845,23,7.437
Dalian University of Technology,845,19,7.469
The University of Jordan,843,8,2.611
City University of Hong Kong,842,40,9.971
University of Wollongong,840,28,8.273
Chalmers University of Technology,836,25,7.295
Karlsruhe Institute of Technology (KIT),835,24,7.526
University of Southern Denmark,829,33,8.661
Universidade Federal do Espirito Santo,822,11,2.493
Comenius University Bratislava,822,11,2.831
Universidade Federal de Lavras,820,4,2.218
Loughborough University,819,12,5.232
Universita di Modena e Reggio Emilia,819,34,7.755
Aristotle University of Thessaloniki,818,65,18.070
Osaka University,815,22,8.156
Konkuk University,810,6,2.197
West Ukrainian National University,807,-,10
University of Amsterdam,806,42,9.710
Slovak Academy of Sciences,806,11,3.531
Iran University of Medical Sciences,802,14,4.659
Bauman Moscow State Technical University,797,-,573
Shahid Beheshti University Of Medical Sciences,795,16,4.618
University of Colorado Boulder,794,12,5.359
Alexandria University,794,20,5.056
University of Warsaw,794,9,3.879
Sorbonne Université,794,13,4.819
National Research Centre,793,23,8.107
University of Tartu,793,23,4.994
University of Newcastle upon Tyne,790,31,9.758
"Vrije Universiteit Brussel, VUB, Free University of Brussels",790,14,3.984
Universidad de La Laguna,789,7,2.814
Université de Montréal,784,25,7.050
Danylo Halytsky Lviv National Medical University,783,2,1.045
Ahvaz Jundishapur University of Medical Sciences,783,3,1.338
"Washington University, Saint Louis",780,43,11.857
Emory University,778,46,12.677
Warsaw University of Technology,778,17,5.958
University of Bucharest,777,8,4.178
"National University of Science and Technology ""MISIS""",774,11,2.446
University of Palermo,773,49,13.981
University College Dublin,773,36,11.606
Oswaldo Cruz Foundation (FIOCRUZ),772,8,2.291
Lodz University of Technology,770,17,5.096
McMaster University,770,45,9.904
University of Diyala,768,7,2.241
Amirkabir University of Technology,768,28,8.755
Siberian Federal University,767,5,1.341
Czech Technical University in Prague,766,26,5.848
Trinity College Dublin,766,32,8.899
Rutgers University,765,17,5.536
University of Georgia,764,33,9.542
Chongqing University,761,18,5.871
University of the Balearic Islands,758,21,6.849
Keio University,757,22,6.098
Colorado State University,756,20,5.228
University of Arizona,756,26,6.545
Universitat Jaume I,755,18,5.525
University of South Florida,748,24,7.050
Kanazawa University,748,6,2.713
Ferdowsi University Mashhad,746,20,5.032
University of Electronic Science and Technology of China,746,32,10.106
Czech University of Life Sciences,744,13,4.523
University of Cape Town,742,13,6.028
State University of New York at Buffalo,741,26,9.155
China University of Geosciences (Wuhan),738,10,2.483
University of Geneva,737,20,5.782
Hanyang University,736,13,5.118
Durham University,736,15,4.997
Dokuz Eylül University,734,7,4.292
University of Oslo,733,25,7.428
North-Western State Medical University named after I.I. Mechnikov,732,-,100
Beijing Institute of Technology,730,16,5.958
University of Basrah,729,13,4.378
Universidade Estadual de Londrina (State University of Londrina) - UEL,726,6,1.961
Necmettin Erbakan University,725,7,2.096
Indian Institute of Technology (IIT) - Madras,725,18,6.152
FZU - Institute of Physics of the Czech Academy of Sciences,724,9,1.836
Lawrence Berkeley National Laboratory,724,16,4.796
Lobachevsky Nizhny Novgorod State University,722,2,1.626
Novosibirsk State Technical University,717,1,531
"Escola Superior de Agricultura Luiz de Queiroz, ESALQ, Universidade de São Paulo, USP",715,-,546
"Sofia University ""St Kliment Ohridski""",713,4,1.693
Instituto Politécnico Nacional,712,9,3.898
University of Las Palmas de Gran Canaria (ULPGC),709,17,5.125
University of Genoa,699,35,11.043
Bukovinian State Medical University,697,-,12
University of Basel,693,30,9.403
Siberian State Medical University,693,1,178
Northwestern Polytechnical University,692,34,8.361
Polytechnic University of Turin,691,57,15.193
Universitat de Girona,690,23,6.761
University of Chicago,690,23,8.144
New York University,689,19,6.890
Korea University,688,17,4.084
Donetsk National Technical University,688,-,3
University of Exeter,686,27,6.629
University of Rome Tor Vergata,685,27,8.681
University of Navarra,685,22,5.719
Queen Mary University of London,684,33,8.888
Indian Institute of Science (IISC) - Bangalore,683,9,3.874
Wroclaw University of Economics,682,6,1.930
University of Central Florida,681,21,5.281
Wrocław University of Environmental and Life Sciences,680,18,3.733
University of Kentucky,679,29,7.055
West Pomeranian University of Technology,678,13,3.921
Yonsei University,678,20,9.888
University of Baghdad,678,23,7.245
"National and Kapodistrian University of Athens, NKUA",677,47,12.623
Universidade Federal de Pelotas,676,3,2.575
University of Waterloo,674,22,6.260
University of Kufa,673,13,4.524
