Autor,Universidad,Correo,Intereses,Cant Citas
Rommy von Bernhardi,Professor for Neuroscience; Dean Faculty for Health Science Universidad San Sebastian,Dirección de correo verificada de uss.cl,Aging Alzheimer's disease glia neurodegenerative diseases neuroinflammation ,Citado por 4529
Carlos P Vio,Universidad San Sebastian,Dirección de correo verificada de uss.cl,Nephrology Hypertension Renal Physiology and Pathology ,Citado por 3780
Valentina Echeverria,"Research Professor, Universidad San Sebastián de Chile. Scientist, Bay Pines VAHCS,USA",Dirección de correo verificada de uss.cl,Neurodegenerative diseases Psychiatric diseases Nicotinic receptors traditional medicine research Tobacco derivatives ,Citado por 3681
Alejandro S. Godoy,Universidad San Sebastián; Roswell Park Cancer Institute,Dirección de correo verificada de uss.cl,Prostate cancer tumor microenvironment angiogenesis metabolism androgens ,Citado por 2486
Verena Häussermann,Universidad San Sebastian,Dirección de correo verificada de uss.cl,marine biodiversity cold-water corals marine protected areas biogeography ,Citado por 2385
Andrea Leiva,Profesor Asociado. Universidad San Sebastián,Dirección de correo verificada de uss.cl,Lipid metabolism. Endothelial function … ,Citado por 2231
Andrea Soza,Universidad San Sebastián,Dirección de correo verificada de uss.cl,cell biology ,Citado por 2222
Samuel Durán Agüero,"Professor of Nutrition, Universidad San Sebastián",Dirección de correo verificada de uss.cl,Nutrition artificial sweeteners obesity old adults ,Citado por 2188
Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",Dirección de correo verificada de santotomas.cl,Macroecology Complexity Theory Conservation Biology Ecophysiology Climate Change ,Citado por 1131
Hugo Ochoa-Acuña,Universidad Santo Tomás,Dirección de correo verificada de santotomas.cl,,Citado por 1131
Vilma Quitral,Académico de Universidad Santo Tomás,Dirección de correo verificada de santotomas.cl,Alimentos Análisis sensorial Algas ,Citado por 983
Juan Jose Negroni Vera,Universidad Santo Tomás,Dirección de correo verificada de santotomas.cl,Power electronics Control Electrónica ,Citado por 917
Miguel Castro Retamal,Universidad Santo Tomás,Dirección de correo verificada de santotomas.cl,,Citado por 898
exequiel r. gonzalez,"universidad santo tomas, chile",Dirección de correo verificada de santotomas.cl,amphipoda taxonomy ,Citado por 778
Héctor J Pavés,"Departamento de Ciencias Básica, Universidad Santo Tomas",Dirección de correo verificada de santotomas.cl,Conservation Biology in Marine Top Predator … ,Citado por 668
Dr. Rodrigo A. Moreno,"Full Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago",Dirección de correo verificada de santotomas.cl,Biogeography Conservation Evolutionary Biology Ecology ,Citado por 658
Alejandro Reyes-Reyes,"Profesor de Psicología, Universidad Santo Tomás, Concepción, Chile.",Dirección de correo verificada de santotomas.cl,Empatía Psicometría Metodología de la investigación ,Citado por 642
Guillermo Mendez-Rebolledo,Universidad Santo Tomás,Dirección de correo verificada de santotomas.cl,Muscle Strength Motor Control Physiotherapy Sport Science. ,Citado por 564
Eduardo A. Undurraga,"Escuela de Gobierno, Pontificia Universidad Católica de Chile",Dirección de correo verificada de uc.cl,Population health health economics modeling poverty and inequality infectious diseases ,Citado por 87072
Alejandro Clocchiatti Garcia,Pontificia Universidad Católica de Chile,Dirección de correo verificada de uc.cl,Astrophysics Supernovae Cosmology Education ,Citado por 40510
Catterina Ferreccio,Department of Public Health/School of Medicine/Pontificia Universidad Católica de Chile,Dirección de correo verificada de med.puc.cl,Epidemiology ,Citado por 35586
Ramon Corbalan,"Profesor de Cardiología, Pontificia Universidad Catolica de Chile",Dirección de correo verificada de med.puc.cl,Cardiologia ,Citado por 31744
Juan J. Armesto,"Professor, Pontificia Universidad Católica de Chile",Dirección de correo verificada de bio.puc.cl,ecology forest science ecosystem science earth science ,Citado por 28795
Flavio Nervi,"Departamento de Gastroenterología, Pontificia Universidad Católica de Chile",Dirección de correo verificada de med.puc.cl,gastroenterology gallstones biliary lipids metabolism cholesterol ,Citado por 27683
Nibaldo C. Inestrosa,Pontificia Universidad Catolica de Chile,Dirección de correo verificada de bio.puc.cl,,Citado por 27361
Juan Pedro Kusanovic,Pontificia Universidad Católica de Chile,Dirección de correo verificada de med.puc.cl,Maternal-Fetal Medicine ,Citado por 26158
Juan Carlos Castilla,P. Universidad Catolica de Chile,Dirección de correo verificada de bio.puc.cl,Rocky interidal Conservation-MPAs Invasive species Humam impacts ,Citado por 23884
Pablo A. Marquet,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute",Dirección de correo verificada de bio.puc.cl,Macroecology theoretical ecology Complex systems Global change Conservation ,Citado por 23639
Nelson Silva,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",Dirección de correo verificada de pucv.cl,oceanografía biogeoquímica marina fiordos patagonia sedimentos ,Citado por 12201
Cristóbal Sifón,"Profesor Asociado, Instituto de Física, Pontificia Universidad Católica de Valparaíso",Dirección de correo verificada de pucv.cl,Galaxy clusters observational cosmology ,Citado por 6484
Victor Leiva,"Escuela de Ingeniería Industrial, Pontificia Universidad Católica de Valparaíso",Dirección de correo verificada de pucv.cl,Data Science-Big Data Statistical Modeling Machine Learning-Artificial Intelligence Operational Research Quality Control ,Citado por 5858
Joel Saavedra,Pontificia Universidad Católica de Valparaíso,Dirección de correo verificada de ucv.cl,Gravitación Cosmología ,Citado por 5368
Claudia Mellado,"Profesor de Periodismo, Pontificia Universidad Católica de Valparaíso",Dirección de correo verificada de pucv.cl,journalistic role performance journalistic cultures comparative research professional roles ,Citado por 5102
Romina Pedreschi,Pontificia Universidad Católica de Valparaíso,Dirección de correo verificada de pucv.cl,postharvest physiology food engineering food science ,Citado por 4615
Javier A. Bravo,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,Dirección de correo verificada de pucv.cl,,Citado por 4459
Giovanni Parodi,Pontificia Universidad Católica de Valparaíso,Dirección de correo verificada de pucv.cl,Psicolingüística Lingüística de Corpus Géneros del Discurso Multimodalidad ,Citado por 4342
Carlos Cristi-Montero,Pontificia Universidad Católica de Valparaiso,Dirección de correo verificada de pucv.cl,Ciencias de la Actividad Física y Deportes ,Citado por 4143
Maria Argudo-Fernandez,"Associate Professor, Institute of Physics, Pontificia Universidad Católica de Valparaíso",Dirección de correo verificada de pucv.cl,Astronomy and Astrophysics Astrophysics of Galaxies Extragalactic Astronomy ,Citado por 3813
Daniel Martínez Olguín,"Estudiante de Geología, Universidad Austral de Chile",Dirección de correo verificada de alumnos.uach.cl,Geología Volcanología Geofísica Sismología ,Citado por 11992
Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de …",Dirección de correo verificada de uach.cl,Ecosystem Services Climate Change Ecological Restoration ,Citado por 11529
JL Iriarte,Universidad Austral de Chile,Dirección de correo verificada de uach.cl,biological oceanography phytoplankton ecology ,Citado por 8981
Carlos D. Figueroa,"Profesor de Patología, Universidad Austral de Chile",Dirección de correo verificada de uach.cl,Patología ,Citado por 7411
Daniel Calderini,"Profesor Titular, Instituto de Produccion y Sanidad Vegetal, universidad Austral de Chile",Dirección de correo verificada de uach.cl,Crop Physiology ,Citado por 6230
Guillermo D'Elía,Universidad Austral de Chile,Dirección de correo verificada de uach.cl,Systematics Evolutionary Biology Mammalogy ,Citado por 5513
Iván Gómez,Universidad Austral de Chile,Dirección de correo verificada de uach.cl,Marine Biology Photobiology ,Citado por 5430
Jorge M. Navarro,Universidad Austral de Chile,Dirección de correo verificada de uach.cl,Marine biology Ecophysiology ,Citado por 5378
Humberto González Estay,"Universidad Austral de Chile, Instituto de Ciencias Marinas y Limnológicas",Dirección de correo verificada de uach.cl,Biological Oceanography ,Citado por 5366
Daniel Melnick,Universidad Austral de Chile,Dirección de correo verificada de uach.cl,Neotectonics Coastal Geomorphology Earthquake Geology Paleoseismology ,Citado por 4678
Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,Dirección de correo verificada de uahurtado.cl,Musicología Música popular latinoamericana Música y sociedad ,Citado por 8722
Luis Cornejo,"Profesor, Universidad Alberto Hurtado",Dirección de correo verificada de uahurtado.cl,Arqueología ,Citado por 1361
Antonia Larrain,Universidad Alberto Hurtado,Dirección de correo verificada de uahurtado.cl,,Citado por 1085
Javier Corvalán,Universidad Alberto Hurtado,Dirección de correo verificada de uahurtado.cl,sociología educación ,Citado por 1070
Sebastian Ureta,"Departamento de Sociología, Universidad Alberto Hurtado",Dirección de correo verificada de uahurtado.cl,Science and technology studies ,Citado por 840
Viviana Galdames,Universidad Alberto Hurtado,Dirección de correo verificada de uahurtado.cl,didáctica del lenguaje lengua materna y segundas lenguas educación intercultural bilingüe ,Citado por 838
Juan Carlos Skewes,Profesor de Antropología (UAH),Dirección de correo verificada de uahurtado.cl,antropología del ambiente patrimonio educación superior exclusión ,Citado por 829
Fernando Crespo,Universidad Alberto Hurtado,Dirección de correo verificada de uahurtado.cl,Mathematical Modelling Analytics Operational Research Data Mining Statistics ,Citado por 740
Cristian Geldes,Universidad Alberto Hurtado,Dirección de correo verificada de uahurtado.cl,strategy marketing innovation and sustainability ,Citado por 701
Marcela Perticara,Universidad Alberto Hurtado,Dirección de correo verificada de uahurtado.cl,economía desarrollo económico economía laboral ,Citado por 699
Armando Rojas,"Profesor Titular, Universidad Católica del Maule",Dirección de correo verificada de ucm.cl,Advanced glycation Tumor microenvironment Inflammation ,Citado por 2824
Ariel D Arencibia Rodriguez,Universidad Católica del Maule,Dirección de correo verificada de ucm.cl,Functional genomics secondary metabolites bioreactors metagenomics ,Citado por 2093
